Date : 2023-05-02 11:02:26
Directory : c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz
Total : 124 files,  6897 codes, 56 comments, 1244 blanks, all 8197 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Grassland_Terrain (16 x 16).png.import                  | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Grassland_entities (16 x 16).png.import                 | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Health_Indicator_Black_Outline (8 x 8).png.import       | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\House (112 x 96).png.import                             | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\LilWiz_Casting_Spell_(32 x 32).png.import               | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\LilWiz_Casting_Spell_Aerial_(32 x 32).png.import        | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\LilWiz_Casting_Spell_Repeating_(32 x 32).png.import     | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\LilWiz_Ducking_(32 x 32).png.import                     | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\LilWiz_Falling_(32 x 32).png.import                     | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\LilWiz_Ground_Recovery_(32 x 32).png.import             | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\LilWiz_Hurt_(32 x 32).png.import                        | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\LilWiz_Idle_(32 x 32).png.import                        | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\LilWiz_Jumping_(32 x 32).png.import                     | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\LilWiz_Running_(32 x 32).png.import                     | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Magical_Orbs_Spell_(32 x 32).png.import                 | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Mochi_Hurt (32 x 32).png.import                         | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Mochi_Idle (32 x 32).png.import                         | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Mochi_Jumping (32 x 32).png.import                      | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Mochi_Running (32 x 32).png.import                      | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Mouse_Icons_Outlined_Drop-shadowed (16 x 16).png.import | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Snack_machine_Bench_Trash_bin (16 x 16).png.import      | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Speech_Emotes (16 x 16).png.import                      | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Timer_Coin_Numbers_Outlined (8 x 8).png.import          | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Twiggy_Idle (32 x 32).png.import                        | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Twiggy_Running (32 x 32).png.import                     | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\Water_frames (16 x 32).png.import                       | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\border.png.import                                       | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\chatbubble.png.import                                   | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\chatbubble_tail.png.import                              | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\checkbox_checked.png.import                             | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\checkbox_unchecked.png.import                           | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\kenny_input_prompts_16.png.import                       | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\level1.png.import                                       | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\link.png.import                                         | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\images\logo.png.import                                         | GDResource |         29 |          0 |          6 |         35 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\levels\level_1.tscn                                            | GDResource |        826 |          0 |        215 |      1,041 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\project.godot                                                  | GDResource |         49 |          7 |         20 |         76 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\readme.md                                                      | Markdown   |          3 |          0 |          1 |          4 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\resources\sprite_frames_bub.tres                               | GDResource |         54 |          0 |          9 |         63 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\resources\sprite_frames_cloud_poof.tres                        | GDResource |         57 |          0 |         11 |         68 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\resources\sprite_frames_coin.tres                              | GDResource |         33 |          0 |          7 |         40 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\resources\sprite_frames_mob_devo.tres                          | GDResource |         30 |          0 |          3 |         33 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\resources\sprite_frames_player.tres                            | GDResource |        118 |          0 |         15 |        133 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\resources\tileset_level_1.tres                                 | GDResource |        964 |          0 |         11 |        975 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\resources\tileset_level_1_fake.tres                            | GDResource |         45 |          0 |          4 |         49 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\chat_bubble.tscn                                        | GDResource |         54 |          0 |          6 |         60 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\cliff.tscn                                              | GDResource |         10 |          0 |          5 |         15 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\cloud_poof_effect.tscn                                  | GDResource |          8 |          0 |          3 |         11 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\colletable_coin.tscn                                    | GDResource |         19 |          0 |          6 |         25 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\context_bar.tscn                                        | GDResource |         74 |          0 |         19 |         93 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\emo_bubble.tscn                                         | GDResource |         71 |          0 |          7 |         78 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\first_scene.tscn                                        | GDResource |         33 |          0 |          6 |         39 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\game_menu.tscn                                          | GDResource |        364 |          0 |         61 |        425 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\game_over_scene.tscn                                    | GDResource |         44 |          0 |         10 |         54 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\game_world.tscn                                         | GDResource |         14 |          0 |          4 |         18 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\hud.tscn                                                | GDResource |        146 |          0 |         32 |        178 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\infinite_road.tscn                                      | GDResource |         19 |          0 |          4 |         23 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\level_1_intro.tscn                                      | GDResource |         65 |          0 |         10 |         75 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\main_menu_button.tscn                                   | GDResource |         27 |          0 |          9 |         36 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\menu_slider.tscn                                        | GDResource |         24 |          0 |          8 |         32 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\mob_bub.tscn                                            | GDResource |         33 |          0 |         10 |         43 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\mob_devo.tscn                                           | GDResource |         30 |          0 |          9 |         39 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\player.tscn                                             | GDResource |         99 |          0 |         20 |        119 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\rest_scene.tscn                                         | GDResource |         48 |          0 |          9 |         57 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\score_board.tscn                                        | GDResource |         44 |          0 |         11 |         55 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scenes\title_scene.tscn                                        | GDResource |        194 |          0 |         29 |        223 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\CameraProxy.cs                                         | C#         |         21 |          0 |          6 |         27 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\ChatBubble.cs                                          | C#         |         47 |          1 |          6 |         54 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\Cliff.cs                                               | C#         |         14 |          2 |          3 |         19 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\CloudPoofEffect.cs                                     | C#         |         11 |          0 |          2 |         13 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\CollectableItem.cs                                     | C#         |         21 |          0 |          5 |         26 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\EmoBubble.cs                                           | C#         |         12 |          0 |          3 |         15 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\FirstScene.cs                                          | C#         |         10 |          0 |          3 |         13 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\GameMenu.cs                                            | C#         |        134 |          2 |         14 |        150 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\GameWorld.cs                                           | C#         |        162 |          6 |         35 |        203 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\HUD.cs                                                 | C#         |         48 |          0 |          7 |         55 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\InfiniteRoad.cs                                        | C#         |         59 |          3 |         10 |         72 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\InteractiveMessage.cs                                  | C#         |         58 |          0 |         11 |         69 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\Killer.cs                                              | C#         |         24 |          0 |          4 |         28 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\Level1.cs                                              | C#         |        155 |          9 |         23 |        187 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\Mob.cs                                                 | C#         |          8 |          0 |          2 |         10 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\MobBub.cs                                              | C#         |         57 |          0 |         16 |         73 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\MobDevo.cs                                             | C#         |         64 |          1 |         16 |         81 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\PlatformerPlayer.cs                                    | C#         |        261 |         15 |         49 |        325 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\RandomizedAnimatedSprite2D.cs                          | C#         |          9 |          1 |          2 |         12 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\RemapButton.cs                                         | C#         |         38 |          2 |          7 |         47 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\ScoreBoard.cs                                          | C#         |         74 |          0 |         11 |         85 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\SecretArea.cs                                          | C#         |         24 |          0 |          3 |         27 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\SpecialArea.cs                                         | C#         |         17 |          0 |          2 |         19 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\TitleScene.cs                                          | C#         |         29 |          0 |          7 |         36 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\scripts\Trail.cs                                               | C#         |         20 |          3 |          7 |         30 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\sounds\bgm_farm_town.mp3.import                                | GDResource |         14 |          0 |          6 |         20 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\tests\control.tscn                                             | GDResource |         34 |          0 |         10 |         44 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\tests\empty.tscn                                               | GDResource |         24 |          0 |          7 |         31 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\tests\f2.gd                                                    | GDScript   |         25 |          0 |          9 |         34 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\tests\free_cam.gd                                              | GDScript   |         30 |          4 |          7 |         41 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\tests\new_script.gd                                            | GDScript   |         11 |          0 |          2 |         13 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\tests\text_test.tscn                                           | GDResource |         19 |          0 |          9 |         28 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\tests\viewport_test.tscn                                       | GDResource |         23 |          0 |          6 |         29 |
| c:\Users\k2kra\Documents\Projects\Godot\4.x\IAmSerious\world_of_alpheratz\world_of_alpheratz.csproj                                      | XML        |          6 |          0 |          0 |          6 |
| Total                                                                                                                                    |            |      6,897 |         56 |      1,244 |      8,197 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
